TEXT	ADJACENT?	ARGUMENTATIVE RELATION	NUMBER OF INSERTED SENTENCES	SEMANTIC CLAUSE TYPE	CN RELATION	MISSING INFORMATION 1	SEMANTIC CLAUSE TYPE 1	CN RELATIONS 1	MISSING INFORMATION 2	SEMANTIC CLAUSE TYPE 2	CN RELATIONS 2	MISSING INFORMATION 3	SEMANTIC CLAUSE TYPE 3	CN RELATIONS 3	MISSING INFORMATION 4	SEMANTIC CLAUSE TYPE 4	CN RELATIONS 4	MISSING INFORMATION 5	SEMANTIC CLAUSE TYPE 5	CN RELATIONS 5
e1: Actually it would be justified if all German universities charged tuition fees.				GENERIC/GENERIC	German universities, charge tuition fees (CapableOf)/charging tuition fees, justified (HasProperty)															
e2: As long as it is ensured that the funds really benefit the universities directly, one can continue to regard this as social justice.				GENERIC/GENERIC/GENERIC	funds, benefit universities (CapableOf)/tuition fees, charged (ReceivesAction)/charging of tuition fees, social justice (IsA)/regard tuition fees as social justice, ensure that the funds benefit the universities directly (HasPrerequisite)/funds, benefit universities (UsedFor)															
e3: Those who study later decide this early on, anyway.				GENERIC	those who study later, decide to study early (CapableOf)/study later, decide this early on (HasPrerequisite)/study, deciding to study (HasPrerequisite)/deciding to study, study (Causes)															
e4: It's always possible to take out a student loan or to earn a scholarship.				GENERIC	student loan, taken out (ReceivesAction)/scholarship, earned (ReceivesAction)/student loan, possible (HasProperty)/scholarship, possible (HasProperty)/students, take out a student loan (CapableOf)/students, earn a scholarship (CapableOf)															
e5: To oblige non-academics to finance others' degrees through taxes, however, is not just.				GENERIC/GENERIC	non-academics, obliged to finance degrees (HasProperty)/obligations of non-academics to finance degrees, just (NotHasProperty)/non-academics, finance degrees (CapableOf)/taxes, finance degrees (UsedFor)															
e2-e1	adjacent	sup	1			Tuition fees promote social justice	GENERIC	tuition fees, promote social justice (CapableOf)/tuition fees, social justice (UsedFor)/tuition fees, social justice (Causes)/tuition fees, social justice (PartOf)												
e3-e1	not adjacent	sup	1			If you decide early to study, you can take care of your tuition fees in time.	GENERIC/GENERIC	you, decide early to study (CapableOf)/you, take care of tuition fees in time (CapableOf)/you, tuition fees (HasA)/deciding early to study, take care of your tuition fees in time (Causes)/take care of your tuition fees in time, deciding early to study (HasPrerequisite)												
e4-e1	not adjacent	sup	2			Tuition fees cost money.	GENERIC	tuition fees, cost money (CapableOf)/tuition fees, costs (Causes)	Students receive money with a student loan or scholarship.	GENERIC	students, receive money with student loan or scholarship (CapableOf)/student loan, money (IsA)/scholarship, money (IsA)/students, receive money (CapableOf)/student loan, receive money (Causes)/scholarship, receive money (Causes)									
e5-e1	not adjacent	sup	3			With tuition fees only students would finance the universities.	GENERIC	tuition fees, finance universities (UsedFor)/tuition fees of students, finance universities (CapableOf)/tuition fees, only students financing the universities (Causes)	Non-academics do not benefit from the universities.	GENERIC	non-academics, universities (NotAtLocation)/non-academics, benefit from the universities (NotCapableOf)/non-academics, benefit from the universities (NotHasA)	If you do not benefit from something, you should not be charged for it.	GENERIC/GENERIC	not benefitting from something, not being charged for it (Causes)						
e2-e3	adjacent	NONE	2			Students study at universities.	GENERIC	students, study at universities (CapableOf)/students, universities (AtLocation)/universities, study (UsedFor)/study, universities (AtLocation)	Tuition fees are paid by students.	GENERIC	tuition fees, paid by students (ReceivesAction)/students, pay tuition fees (CapableOf)									
e3-e4	adjacent	NONE	2			When people decide to study, they can take out a student loan.	GENERIC/GENERIC	people, decide to study (CapableOf)/people, take out student loan (CapableOf)/study, taking out of student loan (HasPrerequisite)/take out a student loan, decide to study (HasPrerequisite)/student loan, studying (UsedFor)	When people decide to study early on, they can earn a scholarship.	GENERIC/GENERIC	people, decide to study early on (CapableOf)/people, earn scholarship (CapableOf)/scholarship, studying (UsedFor)/earn a scholarship, decide to study (HasPrerequisite)									
e4-e5	adjacent	NONE	3			Studies must be financed through loans, scholarships or taxes.	GENERIC	studies, financed (ReceivesAction)/loans, financing studies (UsedFor)/scholarships, financing studies (UsedFor)/taxes, financing studies (UsedFor)	Taxes affect all people.	GENERIC	taxes, affect all people (CapableOf)/all people, affected by taxes (HasProperty)	Non-academics do not profit from the fincancing of universities through taxes.	GENERIC	taxes, finance universities (UsedFor)/non-academics, profit from the financing of universities through taxes (NotCapableOf)						
